Hamming,Manhattan,Mix,v0,v1
5,15,5.15,0,0
4,14,4.14,0.594619,-0.47176
4,13,4.13,1.18924,-0.94352
4,12,4.12,1.78386,-1.41528
4,11,4.11,2.37847,-1.88704
4,10,4.1,2.97309,-2.3588
4,14,4.14,-0.837631,-0.220335
4,13,4.13,-0.243013,-0.692095
3,12,3.12,0.351606,-1.16385
3,11,3.11,0.946225,-1.63561
3,10,3.1,1.54084,-2.10737
3,9,3.9,2.13546,-2.57913
4,13,4.13,-1.67526,-0.44067
3,12,3.12,-1.08064,-0.912429
4,11,4.11,-0.486025,-1.38419
3,10,3.1,0.108593,-1.85595
3,9,3.9,0.703212,-2.32771
3,8,3.8,1.29783,-2.79947
4,12,4.12,-2.51289,-0.661004
3,11,3.11,-1.91828,-1.13276
3,10,3.1,-1.32366,-1.60452
4,9,4.9,-0.729038,-2.07628
3,8,3.8,-0.134419,-2.54804
3,7,3.7,0.460199,-3.0198
4,11,4.11,-3.35053,-0.881339
3,10,3.1,-2.75591,-1.3531
3,9,3.9,-2.16129,-1.82486
3,8,3.8,-1.56667,-2.29662
4,7,4.7,-0.972051,-2.76838
3,6,3.6,-0.377432,-3.24014
4,10,4.1,-4.18816,-1.10167
3,9,3.9,-3.59354,-1.57343
3,8,3.8,-2.99892,-2.04519
3,7,3.7,-2.4043,-2.51695
3,6,3.6,-1.80968,-2.98871
4,7,4.7,-1.21506,-3.46047
4,14,4.14,0.522714,-1.55512
4,13,4.13,1.11733,-2.02688
3,12,3.12,1.71195,-2.49864
3,11,3.11,2.30657,-2.9704
3,10,3.1,2.90119,-3.44216
3,9,3.9,3.49581,-3.91392
4,13,4.13,-0.314917,-1.77545
4,12,4.12,0.279702,-2.24721
3,11,3.11,0.87432,-2.71897
3,10,3.1,1.46894,-3.19073
3,9,3.9,2.06356,-3.66249
3,8,3.8,2.65818,-4.13425
3,12,3.12,-1.15255,-1.99579
3,11,3.11,-0.55793,-2.46755
3,10,3.1,0.0366889,-2.93931
2,9,2.9,0.631308,-3.41107
2,8,2.8,1.22593,-3.88283
2,7,2.7,1.82054,-4.35459
3,11,3.11,-1.99018,-2.21612
3,10,3.1,-1.39556,-2.68788
2,9,2.9,-0.800942,-3.15964
3,8,3.8,-0.206324,-3.6314
2,7,2.7,0.388295,-4.10316
2,6,2.6,0.982913,-4.57492
3,10,3.1,-2.82781,-2.43646
3,9,3.9,-2.23319,-2.90822
2,8,2.8,-1.63857,-3.37998
2,7,2.7,-1.04396,-3.85174
3,6,3.6,-0.449336,-4.3235
2,5,2.5,0.145282,-4.79526
3,9,3.9,-3.66544,-2.65679
3,8,3.8,-3.07082,-3.12855
2,7,2.7,-2.47621,-3.60031
2,6,2.6,-1.88159,-4.07207
2,5,2.5,-1.28697,-4.54383
3,6,3.6,-0.692349,-5.01559
4,13,4.13,1.04543,-3.11024
3,12,3.12,1.64005,-3.582
4,11,4.11,2.23467,-4.05376
3,10,3.1,2.82928,-4.52552
3,9,3.9,3.4239,-4.99728
3,8,3.8,4.01852,-5.46904
3,12,3.12,0.207797,-3.33057
3,11,3.11,0.802416,-3.80233
3,10,3.1,1.39703,-4.27409
2,9,2.9,1.99165,-4.74585
2,8,2.8,2.58627,-5.21761
2,7,2.7,3.18089,-5.68937
4,11,4.11,-0.629834,-3.55091
3,10,3.1,-0.0352155,-4.02267
4,9,4.9,0.559403,-4.49443
3,8,3.8,1.15402,-4.96619
3,7,3.7,1.74864,-5.43795
3,6,3.6,2.34326,-5.90971
3,10,3.1,-1.46747,-3.77124
2,9,2.9,-0.872847,-4.243
3,8,3.8,-0.278228,-4.71476
3,7,3.7,0.31639,-5.18652
2,6,2.6,0.911009,-5.65828
2,5,2.5,1.50563,-6.13004
3,9,3.9,-2.3051,-3.99158
2,8,2.8,-1.71048,-4.46334
3,7,3.7,-1.11586,-4.9351
2,6,2.6,-0.521241,-5.40686
3,5,3.5,0.0733778,-5.87862
2,4,2.4,0.667996,-6.35038
3,8,3.8,-3.14273,-4.21191
2,7,2.7,-2.54811,-4.68367
3,6,3.6,-1.95349,-5.15543
2,5,2.5,-1.35887,-5.62719
2,4,2.4,-0.764254,-6.09895
3,5,3.5,-0.169635,-6.57071
4,12,4.12,1.56814,-4.66536
3,11,3.11,2.16276,-5.13712
3,10,3.1,2.75738,-5.60888
4,9,4.9,3.352,-6.08064
3,8,3.8,3.94662,-6.5524
3,7,3.7,4.54124,-7.02416
3,11,3.11,0.730511,-4.88569
3,10,3.1,1.32513,-5.35745
2,9,2.9,1.91975,-5.82921
3,8,3.8,2.51437,-6.30097
2,7,2.7,3.10899,-6.77273
2,6,2.6,3.7036,-7.24449
3,10,3.1,-0.10712,-5.10603
2,9,2.9,0.487499,-5.57779
3,8,3.8,1.08212,-6.04955
3,7,3.7,1.67674,-6.52131
2,6,2.6,2.27135,-6.99307
2,5,2.5,2.86597,-7.46483
4,9,4.9,-0.944751,-5.32636
3,8,3.8,-0.350133,-5.79812
3,7,3.7,0.244486,-6.26988
4,6,4.6,0.839105,-6.74164
3,5,3.5,1.43372,-7.2134
3,4,3.4,2.02834,-7.68516
3,8,3.8,-1.78238,-5.5467
2,7,2.7,-1.18776,-6.01846
2,6,2.6,-0.593145,-6.49022
3,5,3.5,0.00147337,-6.96198
3,4,3.4,0.596092,-7.43374
2,3,2.3,1.19071,-7.9055
3,7,3.7,-2.62001,-5.76703
2,6,2.6,-2.0254,-6.23879
2,5,2.5,-1.43078,-6.71055
3,4,3.4,-0.836158,-7.18231
2,3,2.3,-0.241539,-7.65407
3,4,3.4,0.353079,-8.12583
4,11,4.11,2.09086,-6.22048
3,10,3.1,2.68548,-6.69224
3,9,3.9,3.28009,-7.164
3,8,3.8,3.87471,-7.63576
4,7,4.7,4.46933,-8.10752
3,6,3.6,5.06395,-8.57928
3,10,3.1,1.25323,-6.44081
3,9,3.9,1.84784,-6.91257
2,8,2.8,2.44246,-7.38433
2,7,2.7,3.03708,-7.85609
3,6,3.6,3.6317,-8.32785
2,5,2.5,4.22632,-8.79961
3,9,3.9,0.415594,-6.66115
2,8,2.8,1.01021,-7.13291
3,7,3.7,1.60483,-7.60467
2,6,2.6,2.19945,-8.07643
3,5,3.5,2.79407,-8.54819
2,4,2.4,3.38869,-9.01995
3,8,3.8,-0.422037,-6.88148
2,7,2.7,0.172582,-7.35324
2,6,2.6,0.7672,-7.825
3,5,3.5,1.36182,-8.29676
3,4,3.4,1.95644,-8.76852
2,3,2.3,2.55106,-9.24028
4,7,4.7,-1.25967,-7.10182
3,6,3.6,-0.66505,-7.57358
3,5,3.5,-0.070431,-8.04534
3,4,3.4,0.524188,-8.5171
4,5,4.5,1.11881,-8.98886
3,4,3.4,1.71342,-9.46062
3,6,3.6,-2.0973,-7.32215
2,5,2.5,-1.50268,-7.79391
2,4,2.4,-0.908062,-8.26567
2,3,2.3,-0.313444,-8.73743
3,4,3.4,0.281175,-9.20919
3,5,3.5,0.875794,-9.68095
4,10,4.1,2.61357,-7.7756
3,9,3.9,3.20819,-8.24736
3,8,3.8,3.80281,-8.71912
3,7,3.7,4.39743,-9.19088
3,6,3.6,4.99205,-9.66264
4,7,4.7,5.58666,-10.1344
3,9,3.9,1.77594,-7.99593
3,8,3.8,2.37056,-8.46769
2,7,2.7,2.96518,-8.93945
2,6,2.6,3.5598,-9.41121
2,5,2.5,4.15441,-9.88297
3,6,3.6,4.74903,-10.3547
3,8,3.8,0.938309,-8.21627
2,7,2.7,1.53293,-8.68803
3,6,3.6,2.12755,-9.15979
2,5,2.5,2.72216,-9.63155
2,4,2.4,3.31678,-10.1033
3,5,3.5,3.9114,-10.5751
3,7,3.7,0.100677,-8.4366
2,6,2.6,0.695296,-8.90836
2,5,2.5,1.28991,-9.38012
3,4,3.4,1.88453,-9.85188
2,3,2.3,2.47915,-10.3236
3,4,3.4,3.07377,-10.7954
3,6,3.6,-0.736954,-8.65694
2,5,2.5,-0.142335,-9.1287
2,4,2.4,0.452283,-9.60046
2,3,2.3,1.0469,-10.0722
3,4,3.4,1.64152,-10.544
3,5,3.5,2.23614,-11.0157
4,7,4.7,-1.57459,-8.87727
3,6,3.6,-0.979967,-9.34903
3,5,3.5,-0.385348,-9.82079
3,4,3.4,0.209271,-10.2926
3,5,3.5,0.803889,-10.7643
4,6,4.6,1.39851,-11.2361
4,14,4.14,0.080661,0.264849
4,13,4.13,0.67528,-0.20691
3,12,3.12,1.2699,-0.67867
3,11,3.11,1.86452,-1.15043
3,10,3.1,2.45914,-1.62219
3,9,3.9,3.05375,-2.09395
4,13,4.13,-0.75697,0.0445146
4,12,4.12,-0.162352,-0.427245
3,11,3.11,0.432267,-0.899005
3,10,3.1,1.02689,-1.37076
3,9,3.9,1.6215,-1.84252
3,8,3.8,2.21612,-2.31428
3,12,3.12,-1.5946,-0.17582
3,11,3.11,-0.999983,-0.64758
3,10,3.1,-0.405364,-1.11934
2,9,2.9,0.189254,-1.5911
2,8,2.8,0.783873,-2.06286
2,7,2.7,1.37849,-2.53462
3,11,3.11,-2.43223,-0.396155
3,10,3.1,-1.83761,-0.867915
2,9,2.9,-1.243,-1.33967
3,8,3.8,-0.648377,-1.81143
2,7,2.7,-0.0537584,-2.28319
2,6,2.6,0.54086,-2.75495
3,10,3.1,-3.26986,-0.61649
3,9,3.9,-2.67525,-1.08825
2,8,2.8,-2.08063,-1.56001
2,7,2.7,-1.48601,-2.03177
3,6,3.6,-0.89139,-2.50353
2,5,2.5,-0.296771,-2.97529
3,9,3.9,-4.1075,-0.836825
3,8,3.8,-3.51288,-1.30858
2,7,2.7,-2.91826,-1.78034
2,6,2.6,-2.32364,-2.2521
2,5,2.5,-1.72902,-2.72386
3,6,3.6,-1.1344,-3.19562
4,13,4.13,0.603375,-1.29027
4,12,4.12,1.19799,-1.76203
3,11,3.11,1.79261,-2.23379
3,10,3.1,2.38723,-2.70555
3,9,3.9,2.98185,-3.17731
3,8,3.8,3.57647,-3.64907
4,12,4.12,-0.234256,-1.51061
4,11,4.11,0.360363,-1.98236
3,10,3.1,0.954981,-2.45412
3,9,3.9,1.5496,-2.92588
3,8,3.8,2.14422,-3.39764
3,7,3.7,2.73884,-3.8694
3,11,3.11,-1.07189,-1.73094
3,10,3.1,-0.477269,-2.2027
3,9,3.9,0.11735,-2.67446
2,8,2.8,0.711969,-3.14622
2,7,2.7,1.30659,-3.61798
2,6,2.6,1.90121,-4.08974
3,10,3.1,-1.90952,-1.95127
3,9,3.9,-1.3149,-2.42303
2,8,2.8,-0.720281,-2.89479
3,7,3.7,-0.125663,-3.36655
2,6,2.6,0.468956,-3.83831
2,5,2.5,1.06357,-4.31007
3,9,3.9,-2.74715,-2.17161
3,8,3.8,-2.15253,-2.64337
2,7,2.7,-1.55791,-3.11513
2,6,2.6,-0.963294,-3.58689
3,5,3.5,-0.368675,-4.05865
2,4,2.4,0.225943,-4.53041
3,8,3.8,-3.58478,-2.39194
3,7,3.7,-2.99016,-2.8637
2,6,2.6,-2.39554,-3.33546
2,5,2.5,-1.80093,-3.80722
2,4,2.4,-1.20631,-4.27898
3,5,3.5,-0.611688,-4.75074
3,12,3.12,1.12609,-2.84539
3,11,3.11,1.72071,-3.31715
3,10,3.1,2.31533,-3.78891
2,9,2.9,2.90995,-4.26067
2,8,2.8,3.50456,-4.73243
2,7,2.7,4.09918,-5.20419
3,11,3.11,0.288458,-3.06572
3,10,3.1,0.883077,-3.53748
3,9,3.9,1.4777,-4.00924
2,8,2.8,2.07231,-4.481
2,7,2.7,2.66693,-4.95276
2,6,2.6,3.26155,-5.42452
3,10,3.1,-0.549173,-3.28606
3,9,3.9,0.0454455,-3.75782
3,8,3.8,0.640064,-4.22958
2,7,2.7,1.23468,-4.70134
2,6,2.6,1.8293,-5.1731
2,5,2.5,2.42392,-5.64486
2,9,2.9,-1.3868,-3.50639
2,8,2.8,-0.792186,-3.97815
2,7,2.7,-0.197567,-4.44991
2,6,2.6,0.397051,-4.92167
1,5,1.5,0.99167,-5.39343
1,4,1.4,1.58629,-5.86519
2,8,2.8,-2.22444,-3.72673
2,7,2.7,-1.62982,-4.19849
2,6,2.6,-1.0352,-4.67025
1,5,1.5,-0.44058,-5.14201
2,4,2.4,0.154039,-5.61377
1,3,1.3,0.748657,-6.08553
2,7,2.7,-3.06207,-3.94706
2,6,2.6,-2.46745,-4.41882
2,5,2.5,-1.87283,-4.89058
1,4,1.4,-1.27821,-5.36234
1,3,1.3,-0.683593,-5.8341
2,4,2.4,-0.0889739,-6.30586
3,11,3.11,1.6488,-4.40051
3,10,3.1,2.24342,-4.87227
2,9,2.9,2.83804,-5.34403
3,8,3.8,3.43266,-5.81579
2,7,2.7,4.02728,-6.28755
2,6,2.6,4.6219,-6.75931
3,10,3.1,0.811172,-4.62084
3,9,3.9,1.40579,-5.0926
2,8,2.8,2.00041,-5.56436
3,7,3.7,2.59503,-6.03612
2,6,2.6,3.18965,-6.50788
2,5,2.5,3.78427,-6.97964
2,9,2.9,-0.0264589,-4.84118
2,8,2.8,0.56816,-5.31294
2,7,2.7,1.16278,-5.7847
2,6,2.6,1.7574,-6.25646
1,5,1.5,2.35202,-6.72822
1,4,1.4,2.94663,-7.19998
3,8,3.8,-0.86409,-5.06151
3,7,3.7,-0.269472,-5.53327
2,6,2.6,0.325147,-6.00503
3,5,3.5,0.919766,-6.47679
2,4,2.4,1.51438,-6.94855
2,3,2.3,2.109,-7.42031
2,7,2.7,-1.70172,-5.28185
2,6,2.6,-1.1071,-5.75361
1,5,1.5,-0.512484,-6.22537
2,4,2.4,0.0821344,-6.69713
2,3,2.3,0.676753,-7.16889
1,2,1.2,1.27137,-7.64065
2,6,2.6,-2.53935,-5.50218
2,5,2.5,-1.94473,-5.97394
1,4,1.4,-1.35012,-6.4457
2,3,2.3,-0.755497,-6.91746
1,2,1.2,-0.160878,-7.38922
2,3,2.3,0.43374,-7.86098
3,10,3.1,2.17152,-5.95563
3,9,3.9,2.76614,-6.42739
2,8,2.8,3.36076,-6.89915
2,7,2.7,3.95537,-7.37091
3,6,3.6,4.54999,-7.84267
2,5,2.5,5.14461,-8.31443
3,9,3.9,1.33389,-6.17596
3,8,3.8,1.92851,-6.64772
2,7,2.7,2.52312,-7.11948
2,6,2.6,3.11774,-7.59124
3,5,3.5,3.71236,-8.063
2,4,2.4,4.30698,-8.53476
2,8,2.8,0.496255,-6.3963
2,7,2.7,1.09087,-6.86806
2,6,2.6,1.68549,-7.33982
1,5,1.5,2.28011,-7.81158
2,4,2.4,2.87473,-8.28334
1,3,1.3,3.46935,-8.7551
2,7,2.7,-0.341376,-6.61663
2,6,2.6,0.253243,-7.08839
1,5,1.5,0.847861,-7.56015
2,4,2.4,1.44248,-8.03191
2,3,2.3,2.0371,-8.50367
1,2,1.2,2.63172,-8.97543
3,6,3.6,-1.17901,-6.83697
3,5,3.5,-0.584389,-7.30873
2,4,2.4,0.01023,-7.78049
2,3,2.3,0.604849,-8.25225
3,4,3.4,1.19947,-8.72401
2,3,2.3,1.79409,-9.19577
2,5,2.5,-2.01664,-7.0573
2,4,2.4,-1.42202,-7.52906
1,3,1.3,-0.827401,-8.00082
1,2,1.2,-0.232783,-8.47258
2,3,2.3,0.361836,-8.94434
2,4,2.4,0.956455,-9.4161
3,9,3.9,2.69423,-7.51075
3,8,3.8,3.28885,-7.98251
2,7,2.7,3.88347,-8.45427
2,6,2.6,4.47809,-8.92603
2,5,2.5,5.07271,-9.39779
3,6,3.6,5.66733,-9.86955
3,8,3.8,1.8566,-7.73108
3,7,3.7,2.45122,-8.20284
2,6,2.6,3.04584,-8.6746
2,5,2.5,3.64046,-9.14636
2,4,2.4,4.23508,-9.61812
3,5,3.5,4.82969,-10.0899
2,7,2.7,1.01897,-7.95142
2,6,2.6,1.61359,-8.42318
2,5,2.5,2.20821,-8.89494
1,4,1.4,2.80283,-9.3667
1,3,1.3,3.39744,-9.83846
2,4,2.4,3.99206,-10.3102
2,6,2.6,0.181338,-8.17175
2,5,2.5,0.775957,-8.64351
1,4,1.4,1.37058,-9.11527
2,3,2.3,1.96519,-9.58703
1,2,1.2,2.55981,-10.0588
2,3,2.3,3.15443,-10.5306
2,5,2.5,-0.656293,-8.39209
2,4,2.4,-0.0616744,-8.86385
1,3,1.3,0.532944,-9.33561
1,2,1.2,1.12756,-9.80737
2,3,2.3,1.72218,-10.2791
2,4,2.4,2.3168,-10.7509
3,6,3.6,-1.49392,-8.61242
3,5,3.5,-0.899306,-9.08418
2,4,2.4,-0.304687,-9.55594
2,3,2.3,0.289932,-10.0277
2,4,2.4,0.88455,-10.4995
3,5,3.5,1.47917,-10.9712
4,13,4.13,0.161322,0.529699
3,12,3.12,0.755941,0.0579389
4,11,4.11,1.35056,-0.413821
3,10,3.1,1.94518,-0.885581
3,9,3.9,2.5398,-1.35734
3,8,3.8,3.13442,-1.8291
3,12,3.12,-0.676309,0.309364
3,11,3.11,-0.0816907,-0.162396
3,10,3.1,0.512928,-0.634156
2,9,2.9,1.10755,-1.10592
2,8,2.8,1.70217,-1.57768
2,7,2.7,2.29678,-2.04944
4,11,4.11,-1.51394,0.0890292
3,10,3.1,-0.919322,-0.382731
4,9,4.9,-0.324703,-0.85449
3,8,3.8,0.269915,-1.32625
3,7,3.7,0.864534,-1.79801
3,6,3.6,1.45915,-2.26977
3,10,3.1,-2.35157,-0.131306
2,9,2.9,-1.75695,-0.603065
3,8,3.8,-1.16233,-1.07483
3,7,3.7,-0.567716,-1.54659
2,6,2.6,0.0269026,-2.01834
2,5,2.5,0.621521,-2.4901
3,9,3.9,-3.1892,-0.35164
2,8,2.8,-2.59458,-0.8234
3,7,3.7,-1.99997,-1.29516
2,6,2.6,-1.40535,-1.76692
3,5,3.5,-0.810729,-2.23868
2,4,2.4,-0.21611,-2.71044
3,8,3.8,-4.02683,-0.571975
2,7,2.7,-3.43222,-1.04374
3,6,3.6,-2.8376,-1.51549
2,5,2.5,-2.24298,-1.98725
2,4,2.4,-1.64836,-2.45901
3,5,3.5,-1.05374,-2.93077
3,12,3.12,0.684036,-1.02542
3,11,3.11,1.27865,-1.49718
3,10,3.1,1.87327,-1.96894
2,9,2.9,2.46789,-2.4407
2,8,2.8,3.06251,-2.91246
2,7,2.7,3.65713,-3.38422
3,11,3.11,-0.153595,-1.24576
3,10,3.1,0.441024,-1.71752
